frame,MAR
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.010098949511412771
8,0.010304351312815117
9,0.010414406840917835
10,0.0
11,0.0
12,0.010523983863040667
13,0.015043973867015344
14,0.010638297872340425
15,0.014885633885281128
16,0.0
17,0.014730592110627974
18,0.010414406840917835
19,0.0
20,0.0
21,0.010742756117576677
22,0.0
23,0.0
24,0.0
25,0.010516997371545019
26,0.0
27,0.01052573266254254
28,0.0
29,0.009999500037496875
30,0.0
31,0.0
32,0.0
33,0.0
34,0.009999500037496875
35,0.010101010101010102
36,0.0
37,0.0
38,0.014284256782850144
39,0.0
40,0.01020408163265306
41,0.010309278350515464
42,0.01020408163265306
43,0.0
44,0.0
45,0.010416101572318098
46,0.010416666666666666
47,0.010309278350515464
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.010638297872340425
56,0.0
57,0.010635890745287925
58,0.010523983863040667
59,0.0
60,0.0
61,0.0
62,0.010983044284767226
63,0.010742756117576677
64,0.010623280080793326
65,0.010505384075852347
66,0.010282538520967823
67,0.0
68,0.014692384523247174
69,0.01049785603183589
70,0.015175048453532848
71,0.02144471574828979
72,0.044721359549995794
73,0.05413472156897795
74,0.0559791279824524
75,0.08939267321192017
76,0.21646029486376214
77,0.3198532158108939
78,0.32065347210918843
79,0.380391535809305
80,0.391520579599053
81,0.44672340872988575
82,0.4619086413735358
83,0.5221186454484776
84,0.5401682774430586
85,0.6102723397483547
86,0.6314462430558384
87,0.7113092155748081
88,0.7553531463060955
89,0.8335031580022031
90,0.736348422710414
91,0.7604297416170623
92,0.7659259750641562
93,0.7662793978200547
94,0.7362720324877398
95,0.7081425161473048
96,0.7676016379585485
97,0.8424411720616467
98,0.8988104705713733
99,0.8241807007774686
100,0.8590406543549981
101,0.8417042544562929
102,0.8205190755185329
103,0.8058579281047424
104,0.8352474391752722
105,0.8819270947622672
106,0.9163092499311759
107,0.9412848170087134
108,0.902446733920401
109,0.9425282108151654
110,0.9022469655126912
111,1.050663427186352
112,1.0083331040540768
113,1.0487727588819704
114,0.9547525054014767
115,1.0203270912810851
116,0.9662883629537651
117,1.0226308918547824
118,1.0347946656221223
119,1.0056838469419702
120,0.9906576387170254
121,0.9022469655126912
122,0.935271669668984
123,1.0014454355894151
124,0.9398566417478128
125,0.8915580885237919
126,0.9191969739523064
127,0.9202629501945576
128,0.943060525734646
129,0.9014222004538575
130,0.9521258753766658
131,0.9939744526743715
132,0.9516654585024839
133,1.038540164290472
134,1.0075854437197567
135,1.036766396703262
136,1.0812870671439638
137,1.0808333101226082
138,1.0045421833167418
139,1.1387476471565399
140,1.1427812601274943
141,1.0185628413097867
142,0.990143843558058
143,1.079491132943692
144,1.0608115294044609
145,1.045423542437222
146,1.05378466486786
147,0.9380488685716111
148,1.0654133880863423
149,0.9794263719645023
150,1.1440724339411583
151,1.1606851284854247
152,1.2084611131147174
153,1.1440566359549866
