Timestamp,Video Name,Otsu Threshold,TP,TN,FP,FN,Accuracy,F1-Score
2026-03-30 16:38:00,1.mp4,0.1529,20,414,89,5,0.8220,0.2985
2026-03-30 16:38:11,2.mp4,0.0000,0,0,20,0,0.0000,0.0000
2026-03-30 16:38:24,3.mp4,0.4039,146,427,16,33,0.9212,0.8563
2026-03-30 16:41:31,4.MOV,0.3647,509,3818,163,251,0.9127,0.7109
2026-03-30 16:43:04,5.mp4,0.3373,41,2013,102,76,0.9203,0.3154
2026-03-30 16:47:41,6.MOV,0.3804,314,5105,244,343,0.9023,0.5169
2026-03-30 16:47:51,7.mp4,0.3216,130,100,5,1,0.9746,0.9774
2026-03-30 16:47:58,8.mp4,0.3216,91,70,16,20,0.8173,0.8349
2026-03-30 19:00:54,1.mp4,Sliding Window,0.2333,16,416,87,9,0.8182,0.2500
2026-03-30 19:01:04,2.mp4,Sliding Window,0.2348,0,20,0,0,1.0000,0.0000
2026-03-30 19:01:12,3.mp4,Sliding Window,0.5484,112,414,29,67,0.8457,0.7000
2026-03-30 19:02:36,4.MOV,Sliding Window,0.3031,374,3881,100,386,0.8975,0.6062
2026-03-30 19:03:09,5.mp4,Sliding Window,0.2682,24,2063,52,93,0.9350,0.2487
2026-03-30 19:05:00,6.MOV,Sliding Window,0.2856,215,4989,360,442,0.8665,0.3490
2026-03-30 19:05:04,7.mp4,Sliding Window,0.3611,102,92,13,29,0.8220,0.8293
2026-03-30 19:05:06,8.mp4,Sliding Window,0.3607,91,65,21,20,0.7919,0.8161

